seller_id,purchase_year,delayed_count,non_delayed_count,seller_zip_code_prefix,seller_city,seller_state
001cca7ae9ae17fb1caed9dfb1094831,2017,10,160,29156,cariacica,ES
002100f778ceb8431b7a1020ff7ab48f,2017,6,31,14405,franca,SP
004c9cd9d87a3c30c522c48c4fc07416,2017,8,122,14940,ibitinga,SP
00ee68308b45bc5e2660cd833c3f81cc,2017,2,39,3333,sao paulo,SP
013900e863eace745d3ec7614cab5b1a,2017,0,10,80740,curitiba,PR
01fdefa7697d26ad920e9e0346d4bd1b,2017,2,62,86050,londrina,PR
0241d4d5d36f10f80c644447315af0bd,2017,1,24,80330,curitiba,PR
02f5837340d7eb4f653d676c7256523a,2017,0,12,80620,curitiba,PR
048c2757535328e0d7dac690ad3c0aae,2017,2,22,14406,franca,SP
0509040ea3fe50071181bbc359eb7738,2017,3,51,31710,belo horizonte,MG
058fd0aa2bfdb2274e05e1ae971dabb6,2017,2,33,9020,santo andre,SP
05d2173d43ea568aa0540eba70d2ca76,2017,0,12,37135,alfenas,MG
05ff92fedb5be47920fea08e501238b9,2017,2,36,98803,santo angelo,RS
06579cb253ecd5a3a12a9e6eb6bf8f47,2017,3,28,4007,sao paulo - sp,SP
066a6914e1ebf3ea95a216c73a986b91,2017,1,38,85863,foz do iguacu,PR
06e5eefc71ec47ae763c5c6f8db7064f,2017,0,20,91350,porto alegre,RS
080102cd0a76b09e0dcf55fcacc60e05,2017,0,18,31140,belo horizonte,MG
080199a181c46c657dc5aa235411be3b,2017,1,23,6097,osasco,SP
0adac9fbd9a2b63cccaac4f8756c1ca8,2017,2,62,13290,louveira,SP
0b90b6df587eb83608a64ea8b390cf07,2017,0,12,87025,maringa,PR
0bae85eb84b9fb3bd773911e89288d54,2017,0,76,88301,itajai,SP
0bb738e4d789e63e2267697c42d35a2d,2017,0,15,18130,sao roque,SP
0be8ff43f22e456b4e0371b2245e4d01,2017,0,54,4461,sao paulo,SP
0bf0150d5b9d60d9cd2906003332f085,2017,6,23,1547,sao paulo,SP
0c7533c71df861ec58ad7ff999ed0e8d,2017,1,27,13270,valinhos,SP
0c8380b62e38e8a1e6adbeba7eb9688c,2017,8,136,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,2017,0,16,37410,tres coracoes,MG
0db783cfcd3b73998abc6e10e59a102f,2017,4,93,11010,santos,SP
0df3984f9dfb3d49ac6366acbd3bbb85,2017,0,36,32604,betim,MG
0ea22c1cfbdc755f86b9b54b39c16043,2017,1,159,35700,sete lagoas,MG
0ebd97a106433a45a4aebe57c1799778,2017,0,14,32240,contagem,MG
0ef83d7d83ed97cd2a0049ac8be5f88a,2017,0,10,80230,curitiba,PR
1025f0e2d44d7041d6cf58b6550e0bfa,2017,34,197,3204,sao paulo,SP
1127b7f2594683f2510f1c2c834a486b,2017,2,77,13087,campinas,SP
11305281b50fff20ae8bb473f8e11876,2017,1,17,36500,uba,MG
113e3a788b935f48aad63e1c41dac1bd,2017,0,17,12570,aparecida,SP
116ccb1a1604bc88e4d234a8c23f33de,2017,0,16,9850,sao bernardo do campo,SP
11bfa66332777660bd0640ee84d47006,2017,3,20,14085,ribeirao preto,SP
128639473a139ac0f3e5f5ade55873a5,2017,9,216,87050,maringa,PR
12b9676b00f60f3b700e83af21824c0e,2017,1,92,95780,montenegro,RS
1336efc61c316ddf92c899eb817f7cae,2017,2,36,19800,assis,SP
1464afc72f696af775557a821c2e253f,2017,0,16,28630,nova friburgo,RJ
14d7985702e72162bbf13b6beb74ab2b,2017,3,15,9131,santo andre,SP
1554a68530182680ad5c8b042c3ab563,2017,13,141,37580,monte siao,MG
15aac934c58d886785ac1b17953ea898,2017,2,9,29480,muqui,ES
16090f2ca825584b5a147ab24aa30c86,2017,7,71,12940,atibaia,SP
165fc07beebdcb6190fba8a06db2a449,2017,1,29,87015,maringa,PR
17a053fcb14bd219540cbde0df490be0,2017,2,32,13843,mogi guacu,SP
17ca9b9e9b9ef8fdb529001b49ebb50f,2017,1,37,32677,betim,MG
17e34d8224d27a541263c4c64b11a56b,2017,11,150,14085,riberao preto,SP
17f51e7198701186712e53a39c564617,2017,4,36,3908,sao paulo,SP
1835b56ce799e6a4dc4eddc053f04066,2017,19,101,14940,ibitinga,SP
1838dd9b8977065acf51d95e0053ea7a,2017,2,17,30882,belo horizonte,MG
18a349e75d307f4b4cc646a691ed4216,2017,2,12,1319,sao paulo,SP
1900267e848ceeba8fa32d80c1a5f5a8,2017,15,110,14940,ibitinga,SP
1a3df491d1c4f1589fc2b934ada68bf2,2017,3,109,89224,joinville,SC
1b4c3a6f53068f0b6944d2d005c9fc89,2017,4,64,88730,sao ludgero,SC
1b938a7ec6ac5061a66a3766e0e75f90,2017,1,14,16304,penapolis,SP
1bb2bdb95f4841f1bba2c0d2cd83d3c9,2017,3,15,1257,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,2017,7,73,2972,sao paulo,SP
1c68394e931a64f90ea236c5ea590300,2017,0,47,87114,sarandi,PR
1ca7077d890b907f89be8c954a02686a,2017,9,42,6506,santana de parnaiba,SP
1caf283236cd69af44cbc09a0a1e7d32,2017,2,19,26020,nova iguacu,RJ
1ce3ae5a399804d1a87e706f8a813c3e,2017,1,12,88715,jaguaruna,SC
1d8dbc4f32378d715c717c1c1fc57bae,2017,4,51,86706,arapongas,PR
1da3aeb70d7989d1e6d9b0e887f97c23,2017,4,113,4265,sao paulo,SP
1eade46fba20122dc4aefb379f8c636b,2017,2,14,2066,sao paulo,SP
1f1bb1f0859883505541bdd6606193e5,2017,1,14,2124,sao paulo,SP
1f50f920176fa81dab994f9023523100,2017,83,686,15025,sao jose do rio preto,SP
1f9ab4708f3056ede07124aad39a2554,2017,0,29,17602,tupa,SP
2089a6d640999f9b9141ac719b2af596,2017,4,16,13566,sao carlos,SP
20d83f3ef0e6925fd74bfd59170babf7,2017,1,18,2804,sao paulo,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,2017,14,268,8250,sao paulo,SP
2156f2671501a81034d7d07f217609d0,2017,0,9,4776,sp,SP
218d46b86c1881d022bce9c68a7d4b15,2017,9,174,14070,ribeirao preto,SP
